CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Bladder
cg08169020,0.8866,0.2615,0.0149,0.0777,0.0164,0.868,0.9509,0.0336,0.0462
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293,0.2385,0.3578,0.2054
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915,0.1374,0.1965,0.1269
cg25170017,0.8861,0.5116,0.1021,0.4363,0.0875,0.7042,0.9447,0.0842,0.0769
cg12827637,0.5212,0.3614,0.0227,0.212,0.0225,0.5368,0.4667,0.0287,0.0459
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952,0.1601,0.0364,0.0246
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798,0.1045,0.0309,0.0138
cg23231163,0.3366,0.2776,0.1749,0.1822,0.1789,0.3249,0.333,0.1264,0.171
cg04858631,0.6594,0.1479,0.0787,0.0516,0.1614,0.644,0.5443,0.1346,0.1091
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952,0.1601,0.0364,0.0246
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798,0.1045,0.0309,0.0138
cg10560079,0.1943,0.0846,0.01,0.0524,0.0107,0.1753,0.149,0.0774,0.0321
cg11845111,0.1324,0.0998,0.0477,0.0556,0.0453,0.1152,0.1343,0.1574,0.1441
cg27211696,0.2095,0.1225,0.0331,0.0619,0.0339,0.1863,0.186,0.2105,0.1648
cg00982136,0.4659,0.3645,0.0369,0.0494,0.0385,0.4724,0.4022,0.0724,0.0632
cg22017733,0.434,0.4609,0.129,0.2913,0.1708,0.1845,0.424,0.0623,0.0938
cg26460530,0.3586,0.3923,0.0568,0.2543,0.0598,0.3042,0.2282,0.0667,0.0586
cg13677741,0.1653,0.1182,0.0109,0.0887,0.0133,0.2101,0.199,0.027,0.0577
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331,0.536,0.026,0.0976
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558,0.6729,0.0243,0.0535
cg09642825,0.4598,0.3097,0.1942,0.4086,0.182,0.4433,0.5505,0.0586,0.0953
cg01424562,0.8487,0.5592,0.1068,0.4103,0.1318,0.8368,0.9115,0.1062,0.1507
cg15376996,0.5355,0.4895,0.3402,0.456,0.2595,0.577,0.6439,0.094,0.0736
cg14789659,0.8194,0.6834,0.2172,0.6203,0.525,0.8535,0.8926,0.1173,0.1948
cg00928816,0.7962,0.6818,0.3266,0.6438,0.553,0.854,0.8764,0.176,0.2685
cg20746552,0.6966,0.6434,0.321,0.5626,0.5442,0.7588,0.7817,0.157,0.2364
cg16389209,0.7493,0.6001,0.2884,0.6021,0.496,0.8042,0.8371,0.1627,0.2111
cg19300307,0.8784,0.756,0.5303,0.825,0.7107,0.8563,0.9466,0.2371,0.1263
cg11895835,0.8771,0.2624,0.2625,0.5883,0.317,0.8452,0.9116,0.1459,0.454
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363,0.9309,0.2221,0.2624
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937,0.4071,0.045,0.0451
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562,0.6169,0.0459,0.0619
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006,0.8243,0.2968,0.3285
cg06340704,0.7613,0.714,0.3902,0.4906,0.4233,0.7775,0.7343,0.1308,0.2136
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324,0.5621,0.0909,0.0903
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404,0.4457,0.0798,0.0861
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289,0.3228,0.0932,0.1252
cg18856478,0.9477,0.941,0.9361,0.9174,0.9398,0.9456,0.9422,0.0793,0.1784
cg27189395,0.3106,0.3252,0.2104,0.2478,0.2322,0.3024,0.2513,0.0449,0.0324
cg04043919,0.2821,0.3054,0.2812,0.3322,0.2957,0.3046,0.2772,0.1638,0.1825
cg26033520,0.7498,0.8209,0.6811,0.4038,0.5694,0.7561,0.4239,0.1236,0.1144
cg05507654,0.1953,0.0449,0.0537,0.1751,0.0725,0.2326,0.2002,0.0678,0.0257
cg05056497,0.7282,0.5957,0.2246,0.185,0.3757,0.4537,0.851,0.1158,0.1489
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293,0.2385,0.3578,0.2054
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915,0.1374,0.1965,0.1269
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495,0.2217,0.0701,0.0605
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176,0.4552,0.1474,0.106
cg00936790,0.8,0.5784,0.1317,0.5352,0.2861,0.7899,0.7732,0.0997,0.1317
cg05258935,0.9509,0.9555,0.9521,0.95,0.9602,0.9363,0.9645,0.0693,0.213
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324,0.5621,0.0909,0.0903
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404,0.4457,0.0798,0.0861
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289,0.3228,0.0932,0.1252
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363,0.9309,0.2221,0.2624
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937,0.4071,0.045,0.0451
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562,0.6169,0.0459,0.0619
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006,0.8243,0.2968,0.3285
cg23220823,0.3931,0.1386,0.0916,0.128,0.0894,0.4259,0.3797,0.1366,0.0798
cg08857351,0.232,0.1917,0.1394,0.2206,0.1682,0.2337,0.1436,0.0379,0.0279
cg02486646,0.1347,0.1188,0.0702,0.1241,0.089,0.1468,0.1244,0.0456,0.0452
cg08474651,0.1932,0.2666,0.163,0.1245,0.148,0.2128,0.1537,0.0227,0.0359
cg27395200,0.6855,0.6112,0.2654,0.3709,0.3032,0.6158,0.7299,0.1616,0.1995
cg07275218,0.6981,0.6353,0.3061,0.4302,0.3325,0.6668,0.7337,0.2387,0.2495
cg10509607,0.7058,0.6731,0.0629,0.6437,0.1097,0.6333,0.7449,0.1111,0.198
cg14855367,0.8451,0.5886,0.6809,0.8076,0.8375,0.8167,0.8215,0.1138,0.1809
cg23247274,0.1302,0.0166,0.1512,0.1123,0.0555,0.0604,0.0164,0.007,0.005
cg22897141,0.2632,0.1968,0.2586,0.3176,0.2072,0.2014,0.1245,0.1749,0.055
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331,0.536,0.026,0.0976
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558,0.6729,0.0243,0.0535
cg03254916,0.2688,0.2273,0.2313,0.2754,0.2178,0.2501,0.1374,0.111,0.055
cg08063160,0.7761,0.0969,0.5338,0.3152,0.3844,0.7581,0.7283,0.228,0.312
cg08425810,0.706,0.8249,0.841,0.6698,0.866,0.6204,0.6066,0.0631,0.1127
cg09267773,0.7251,0.0691,0.4459,0.5365,0.542,0.7737,0.3513,0.1305,0.109
cg02962602,0.5569,0.4813,0.3268,0.2805,0.2305,0.4945,0.6419,0.0925,0.3509
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495,0.2217,0.0701,0.0605
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176,0.4552,0.1474,0.106
cg26757820,0.5911,0.1786,0.0888,0.4253,0.2868,0.5477,0.102,0.1399,0.5792
cg08832851,0.3915,0.0385,0.0359,0.0503,0.0363,0.4298,0.6754,0.0806,0.1408
cg03711944,0.7877,0.7985,0.7903,0.7749,0.8316,0.7016,0.7611,0.1065,0.053
cg27388962,0.6395,0.0352,0.5345,0.7294,0.516,0.7352,0.8001,0.0763,0.1297
cg04913246,0.5662,0.5323,0.0699,0.5341,0.1188,0.5058,0.5757,0.0906,0.1354
cg10361922,0.1899,0.208,0.1548,0.1599,0.1476,0.1917,0.1179,0.0353,0.0384
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17,0.1899,0.0749,0.0766
cg16416715,0.2601,0.2408,0.0731,0.067,0.0657,0.212,0.1806,0.0833,0.0755
cg08257293,0.622,0.524,0.2553,0.3589,0.3348,0.622,0.5919,0.1152,0.2288
cg26047334,0.7252,0.4559,0.323,0.5292,0.3248,0.6436,0.5335,0.1427,0.1512
cg14057303,0.8257,0.6651,0.1413,0.1085,0.1371,0.7957,0.1245,0.4291,0.2513
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17,0.1899,0.0749,0.0766
